Categorias de assuntos	Assunto
(COM) Comercial	(COM) Lead cliente final
(COM) Comercial	(COM) Lead revenda
(COM) Comercial	(COM) Agendamento apresentação comercial
(COM) Comercial	(COM) Implantação demonstração
(COM) Comercial	(COM) Agendamento briefing
(COM) Comercial	(COM) Agendamento apresentação LC Pay
(COM) Comercial	(COM) Ligação pós-venda
(COM) Comercial	(COM) Primeira Ligação
(FIN) Certificado Digital	(FIN) Baixa do arquivo de certificado digital - Dúvidas
(FIN) Certificado Digital	(FIN) Pedido de boleto/pix para pagamento de certificado digital
(FIN) Certificado Digital	(Fin) Como fazer solicitação/Emissão de Certificado
(FIN) Certificado Digital	(FIN) Valores de Certificado Digital - PJ ou PF
(FIN) Certificado Digital	(FIN) Baixa do arquivo de certificado digital - Dúvidas
(FIN) Certificado Digital	(FIN) Dados e documentação para certificação digital - Dúvidas
(FIN) Certificado Digital	(FIN) Cancelamento/Reembolso de certificado digital
(FIN) Certificado Digital	(FIN) Agendamento ou Reagendamento de videoconferência
(FIN) Certificado Digital	(FIN) Outras dúvidas relacionadas a certificado digital
(FIN) Certificado Digital	(FIN) Pedido/envio de boleto ou pix para pagamento de certificado digital
(FIN) Certificado Digital	(FIN) Inatividade - Certificado Digital
(FIN) Financeiro e Administrativo	(FIN) Solic. de Rev. - Declaração SNPG
(FIN) Financeiro e Administrativo	(FIN) Dificuldade de registro
(FIN) Financeiro e Administrativo	(FIN) Abriu chamado e já havia resolvido
(FIN) Financeiro e Administrativo	(FIN) Reabriu atend. com feedback de outro atendimento
(FIN) Financeiro e Administrativo	Transferência de carteira - Tratativas e trâmites
(FIN) Financeiro e Administrativo	Solic. de Rev. - modelo de contrato do IMendes
(FIN) Financeiro e Administrativo	Solic. de Rev. - Solic. de reconhec. na SEFAZ
(FIN) Financeiro e Administrativo	(FIN) Solic. de Nota Fiscais emitidas pelo financeiro
(FIN) Financeiro e Administrativo	Pedido de isenção ou negociação de mensalid. em atraso
(FIN) Financeiro e Administrativo	(POR) CNPJ do portal diferente do Sistema
(FIN) Financeiro e Administrativo	(POR) Efetuando o registro mensal e voltando para tela de registro
(FIN) Financeiro e Administrativo	(POR) Aviso de Sistema expirando - sem pagamentdentro no mês corrente
(FIN) Financeiro e Administrativo	(FIN) Solic. de Rev. - Declaração SNPG
(FIN) Financeiro e Administrativo	(FIN) Transferência de carteira - Tratativas e trâmites
(FIN) Financeiro e Administrativo	(FIN) Solic. de Rev. - Solic. de reconhec. na SEFAZ
(FIN) Financeiro e Administrativo	(FIN) Solic. de Rev. - modelo de contrato do IMendes
(FIN) Financeiro e Administrativo	(FIN) Pedido de isenção ou negociação de mensalid. em atraso
(FIN) Financeiro e Administrativo	(FIN) CNPJ do portal diferente do Sistema
(FIN) Financeiro e Administrativo	(FIN) Efetuando o registro mensal e voltando para tela de registro
(FIN) Financeiro e Administrativo	(FIN) Aviso de Sistema expirando - sem pagamentdentro no mês corrente
(FIN) Financeiro e Administrativo	(FIN) Aviso de Sistema expirando - sem pagamento no mês corrente
(FIN) Financeiro e Administrativo	(FIN) Dúvidas / Informações - Descrever
(FIN) Financeiro e Administrativo	(FIN) Contrato expirado/renovação
(FIN) Financeiro e Administrativo	(FIN) Contrato expirado-renovação
(FIN) Financeiro/Administrativo	(FIN) Abriu chamado e já havia resolvido
(FIN) Financeiro/Administrativo	(FIN) Abriu chamado com feedback de outro atendimento
(FIN) Financeiro/Administrativo	(FIN) Transferência de carteira - Tratativas e trâmites
(FIN) Financeiro/Administrativo	(FIN) Revenda solicitando Declaração SNGPC
(FIN) Financeiro/Administrativo	(FIN) Revenda solicitando modelo de contrato do IMendes
(FIN) Financeiro/Administrativo	(FIN) Solicitação de reconhecimento na SEFAZ
(FIN) Financeiro/Administrativo	(FIN) Tratativas do Adm.- Dúvidas de Clientes
(FIN) Financeiro/Administrativo	(FIN) Tratativas do Adm.- Dúvidas sobre Vagas de emprego
(FIN) Financeiro/Administrativo	(FIN) Tratativas do Adm.- Fornecedores
(FIN) Financeiro/Administrativo	(FIN) Solicitação de Nota Fiscais emitidas pelo financeiro
(FIN) Financeiro/Administrativo	(FIN) Solucionado via ligação
(FIN) Financeiro/Administrativo	(FIN) Pedido de isenção ou negociação de mensalidades em atraso
(FIN) Financeiro/Administrativo	(FIN) Dúvidas LC PAY
(FIN) Financeiro/Administrativo	(FIN) Outros referente ao Financeiro
(FIN) Financeiro/Administrativo	(FIN) Inatividade
(FIN) Financeiro/Administrativo	(FIN) Teste da plataforma
(FIN) Financeiro/Administrativo	(FIN) Reclamação de Revendas
(FIN) Portal do Decolador	(FIN) Alteração cadastral - Dúvidas sobre alteração de dados do cliente no portal
(FIN) Portal do Decolador	(FIN) Dificuldade de registro - Ausência da 1ª mensalidade no mês atual
(FIN) Portal do Decolador	(FIN) Dificuldade de registro - Contrato expirado/renovação
(FIN) Portal do Decolador	(FIN) Dificuldade de registro - Cliente sem contrato - Regularize seu cadastro
(FIN) Portal do Decolador	(FIN) Dificuldade de registro - CNPJ da máquina diferente do CNPJ do contrato
(FIN) Portal do Decolador	(FIN) Dificuldade de registro - Limite de senha fidelidade excedido (Erro 155)
(FIN) Portal do Decolador	(FIN) Cadastro de clientes - Dúvidas ao cadastrar cliente
(FIN) Portal do Decolador	(FIN) Cadastro de cliente - Cliente fictício
(FIN) Portal do Decolador	(FIN) Cadastro de cliente - Nova cidade para atuação - Como fazer solicitação
(FIN) Portal do Decolador	(FIN) Contrato de clientes - Dúvidas ao fazer contrato de cliente
(FIN) Portal do Decolador	(FIN) Contrato de clientes -  Solic. de modelo de contrato Revenda x Cliente
(FIN) Portal do Decolador	(FIN) Alteração cadastral - Alteração cadastral de Revenda
(FIN) Portal do Decolador	(FIN) Cancelamento de clientes - Pedido de aprovação de solicitação
(FIN) Portal do Decolador	(FIN) Cancelamento de clientes - Como fazer Solicitação de Cancelamento
(FIN) Portal do Decolador	(FIN) Reativação do cliente - Como fazer
(FIN) Portal do Decolador	(FIN) Reativação de Revenda Inativa - Tratativas
(FIN) Portal do Decolador	(FIN) Renovação de contrato - Dúvidas/Informações
(FIN) Portal do Decolador	(FIN) Dia bloqueio e bloqueio em tempo real
(FIN) Portal do Decolador	(FIN) Pagamento de cobranças - Retorno de saldo negativo - Como fazer
(FIN) Portal do Decolador	(FIN) Pagamento de cobranças - Dúvidas sobre como pagar a LC
(FIN) Portal do Decolador	(FIN) Senhas e liberações - Geração de senha manual - Dúvidas
(FIN) Portal do Decolador	(FIN) Senhas e liberações - Liberação de senha fidelidade - Dúvidas
(FIN) Portal do Decolador	(FIN) Solicitação - Aprovar Nova cidade para atuação
(FIN) Portal do Decolador	(FIN) Solicitação - Alteração cadastral de Cliente -Dúvidas
(FIN) Portal do Decolador	(FIN) Solicitação - Serv. adicion. em maquininha Stone - LC Gourmet
(FIN) Portal do Decolador	(FIN) Solicitação - Alteração de CNPJ - Dúvidas
(FIN) Portal do Decolador	(FIN) Solicitação - Serv. adicion. em maquininha Stone - LC Balcão
(FIN) Portal do Decolador	(FIN) Solicitação - Serv. adicion. em maquininha Cielo - LC Gourmet
(FIN) Portal do Decolador	(FIN) Solicitação - Serv. adicion. em maquininha Cielo - LC Balcão
(FIN) Portal do Decolador	(FIN) Solicitação - Serv. adicion. em maquininha Pagbank - LC Gourmet
(FIN) Portal do Decolador	(FIN) Solicitação - Serv. adicion. em maquininha Pagbank - LC Balcão
(FIN) Portal do Decolador	(FIN) Solicitação - Como solicitar cancelamento de contrato
(FIN) Portal do Decolador	(FIN) Solicitação - Como alterar o plano do cliente - qtd. pc, vencimento, dia bloqueio
(FIN) Portal do Decolador	(FIN) Outros Referentes Ao Portal - Especifique em Observações
(FIN) Portal do Decolador	(FIN) Dúvidas sanadas com Menu Ajuda - Portal
(FIN) Portal do Decolador	(FIN) Revenda solicitando código da Revenda
(FIN) Portal do Decolador	(FIN) Serviços Adicionais - Shipay - Valores, planos ou aprovação
(FIN) Portal do Decolador	(FIN) Serviços Adicionais - Imendes - Valores, planos ou aprovação
(FIN) Portal do Decolador	(FIN) Serviços Adicionais - Como adicionar ao contrato do cliente
(FIN) Portal do Decolador	(FIN) Serviços Adicionais - Como cancelar do contrato do cliente
(FIN) Portal do Decolador	(FIN) Serviços Adicionais - Como adicionar para a revenda - Informação e Token
(FIN) Portal do Decolador	(FIN) Serviços Adicionais - Como gerar token do serviço
(FIN) Portal do Decolador	(FIN) Serviços Adicionais - Valor - LC Gourmet, LC Balcão, Dashboard e/ou Força de Vendas
(FIN) Portal do Decolador	(FIN) Serviços Adicionais - Adicionar CNPJ a usuário Dashboard
(FIN) Portal do Decolador	(FIN) Senhas e liberações - Geração de senha demonstração temporária
(FIN) Portal do Decolador	(FIN) Serviços Adicionais - Alteração de senha Dashboard
(MIG)  Agendamento	(MIG)  Agendamento
(MIG) Banco dados	(MIG)  Coleta
(MIG) Banco dados	(MIG) Extração de tabelas
(MIG) Banco dados	(MIG) Comandos
(MIG) Duvidas	(MIG) Tipo de banco
(MIG) Duvidas	(MIG) Status da Migração
(MIG) Inatividade	(MIG) inatividade
(SUP) Aplicativos	(Sup) App lc balcão - outro (Descreva)
(SUP) Aplicativos	(Sup) App lc gourmet - outro (Descreva)
(SUP) Aplicativos	(Sup) App lc força de vendas - outro (Descreva)
(SUP) Aplicativos	(Sup) App lc Dashboard - outro (Descreva)
(SUP) Aplicativos	(Sup) App lc coletor de dados - outro (Descreva)
(SUP) Aplicativos	(SUP) App lc balcão - atualização
(SUP) Aplicativos	(SUP) App lc balcão -  Instalação
(SUP) Aplicativos	(SUP) App lc balcão - configuração
(SUP) Aplicativos	(SUP) App lc balcão - Comunicação
(SUP) Aplicativos	(SUP) App lc balcão -  App no IOS não lê código de barras
(SUP) Aplicativos	(SUP) App lc balcão -Funcionalidade
(SUP) Aplicativos	(SUP) App lc Gourmet - Instalação
(SUP) Aplicativos	(SUP) App lc Gourmet -Atualização
(SUP) Aplicativos	(SUP) App lc Gourmet -Configuração
(SUP) Aplicativos	(SUP) App lc Gourmet -Comunicação
(SUP) Aplicativos	(SUP) App lc F.vendas - atualização
(SUP) Aplicativos	(SUP) App lc F.vendas - Instalação
(SUP) Aplicativos	(SUP) App lc F.vendas - Configuração
(SUP) Aplicativos	(SUP) App lc F.vendas - Resetar o banco na AWS
(SUP) Aplicativos	(SUP) App lc F.vendas - erro ao enviar pedido
(SUP) Aplicativos	(SUP) App lc F.vendas - erro ao sincronizar
(SUP) Aplicativos	(SUP) App lc F.vendas - Erro ao sincronizar cad. cliente - Data do RG
(SUP) Aplicativos	(SUP) App lc F.vendas - Erro ao sincronizar cadastros - 400 Query did not return a unique result
(SUP) Aplicativos	(SUP) App lc F.vendas - App fechando ao consultar pedido
(SUP) Aplicativos	(SUP) App lc F.vendas - Como trabalhar com kit de produto
(SUP) Aplicativos	(SUP) App lc dashboard - Atualização
(SUP) Aplicativos	(SUP) App lc dashboard - Instalação
(SUP) Aplicativos	(SUP) App lc dashboard - Servidor Offline
(SUP) Aplicativos	(SUP) App lc dashboard - Configuração
(SUP) Aplicativos	(SUP) App lc dashboard - valores divergentes
(SUP) Aplicativos	(SUP) App lc dashboard - Data/hora incorreta
(SUP) Aplicativos	(SUP) App lc dashboard - Funcionalidade
(SUP) Aplicativos	(SUP) App lc dashboard -Sincronizador não abre (aberto várias vezes)
(SUP) Aplicativos	(SUP) App lc dashboard - Sincronismo bloqueado pelo Radmin VPN
(SUP) Aplicativos	(SUP) App lc dashboard - Retorno - Token inválido
(SUP) Aplicativos	(SUP) App lc dashboard -Sincronismos parados após instabilidade no Dash
(SUP) Aplicativos	(SUP) App lc dashboard - Erro ao sincronizar - Unable to find Produto with id '' of entity estoquesaldo
(SUP) Aplicativos	(SUP) App lc Coletor dados - Configuração
(SUP) Aplicativos	(SUP) App lc Coletor dados - Funcionalidade
(SUP) Atendimento adiado	(SUP) Atendimento adiado - outro
(SUP) Banco de dados	(SUP) Banco de dados - Instalação
(SUP) Banco de dados	(SUP) Banco de dados - reconfiguração da instância
(SUP) Banco de dados - desktop	(SUP) Bco. Dados - outro
(SUP) Banco de dados - desktop	(SUP) Bco. Dados- Instalação
(SUP) Banco de dados - desktop	(SUP) Bco. Dados- Fazer backup pasta data
(SUP) Banco de dados - desktop	(SUP) Bco. Dados - Restaurar backup pasta data
(SUP) Banco de dados - desktop	(SUP) Bco. Dados - Fazer backup pelo QueryBrowser
(SUP) Banco de dados - desktop	(SUP) Bco. Dados - Restaurar backup pelo QueryBrowser
